"BP6_1","descrip"
"1
","exigieron rescate a familiares por su liberación?"
"2
","lo obligaron a retirar dinero de un cajero, entregar joyas, celular u otras cosas?"
"3
","fue un intento"
"4
","logró escapar"
"9
","No sabe / no responde"
